Rk,Player,M_serve,M_W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,M_return,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,M_more,DR,Points,TPW%,TBs,TB_W%,TB/S,Sets,S_W%,Gms,G_W%,Sec/Pt,Nationality,Sec_Set,Time_Mt_sec
12,Tommy Paul,66,0.7120000000000001,0.654,0.6409999999999999,383,0.073,114,0.022000000000000002,0.057,0.619,0.718,0.55,0.583,0.8240000000000001,6.4,2.2,66,0.409,0.413,0.052000000000000005,0.028999999999999998,0.345,0.517,0.28600000000000003,6.7,2.7,49.5,60.0,66,0.40700000000000003,230,565,0.7,3.2,8.6,1.32,3.5,0.664,282,425,0.52,2.4,6.4,0.82,2.2,66,1.18,10576,0.529,24,0.625,0.138,174,0.6779999999999999,1616,0.557,38.5,USA,2340.0,103.0
13,Hubert Hurkacz,68,0.691,0.695,0.653,927,0.157,116,0.02,0.053,0.631,0.784,0.542,0.5720000000000001,0.893,6.2,1.9,68,0.348,0.355,0.07200000000000001,0.028999999999999998,0.27399999999999997,0.47600000000000003,0.175,6.6,2.3,41.0,69.7,68,0.377,162,430,0.46,2.3,6.3,0.88,2.4,0.698,236,338,0.36,1.8,5.0,0.55,1.5,68,1.14,11999,0.518,58,0.534,0.315,184,0.63,1874,0.5379999999999999,38.7,POL,2526.0,114.0
14,Holger Rune,69,0.638,0.659,0.653,465,0.084,197,0.035,0.08900000000000001,0.603,0.7340000000000001,0.545,0.599,0.84,6.4,2.2,69,0.35100000000000003,0.35600000000000004,0.073,0.032,0.271,0.48200000000000004,0.185,6.3,2.2,44.5,74.9,69,0.376,161,428,0.49,2.4,6.2,0.88,2.3,0.6609999999999999,271,410,0.47,2.3,5.9,0.76,2.0,69,1.03,11025,0.506,32,0.688,0.17600000000000002,182,0.588,1740,0.513,40.6,DEN,2460.0,108.0
15,Frances Tiafoe,58,0.569,0.6559999999999999,0.642,470,0.094,149,0.03,0.073,0.589,0.74,0.536,0.578,0.8390000000000001,6.5,2.2,58,0.35200000000000004,0.37200000000000005,0.125,0.042,0.273,0.483,0.18100000000000002,6.4,2.3,59.5,66.6,58,0.359,140,390,0.5,2.5,6.7,0.89,2.4,0.648,228,352,0.46,2.2,6.1,0.79,2.1,58,1.02,9971,0.504,35,0.486,0.223,157,0.529,1544,0.509,40.3,USA,2562.0,116.0
16,Ugo Humbert,65,0.631,0.674,0.659,435,0.084,105,0.02,0.055999999999999994,0.64,0.742,0.5529999999999999,0.586,0.862,6.2,2.0,65,0.37,0.375,0.075,0.037000000000000005,0.28600000000000003,0.51,0.222,6.4,2.4,54.0,60.0,65,0.37200000000000005,182,489,0.6,2.8,7.5,1.05,2.8,0.674,240,356,0.42,2.1,5.5,0.67,1.8,65,1.14,10420,0.521,27,0.519,0.156,173,0.613,1658,0.546,42.2,FRA,2544.0,113.0
17,Lorenzo Musetti,67,0.5670000000000001,0.6409999999999999,0.638,247,0.044000000000000004,113,0.02,0.057,0.6459999999999999,0.7040000000000001,0.526,0.557,0.7929999999999999,6.4,2.3,67,0.36700000000000005,0.373,0.069,0.032,0.287,0.503,0.214,6.6,2.4,51.5,60.2,67,0.375,188,501,0.57,2.8,7.5,1.03,2.8,0.579,250,432,0.49,2.4,6.4,1.0,2.7,67,1.02,11383,0.502,35,0.5429999999999999,0.192,182,0.5329999999999999,1759,0.504,38.6,ITA,2412.0,109.0
18,Jack Draper,59,0.61,0.674,0.665,482,0.106,181,0.04,0.098,0.5920000000000001,0.782,0.518,0.574,0.847,6.1,2.0,59,0.375,0.386,0.083,0.034,0.295,0.503,0.24100000000000002,6.4,2.4,32.0,61.3,59,0.433,181,418,0.56,2.7,7.1,1.16,3.1,0.615,182,296,0.4,1.9,5.0,0.73,1.9,59,1.15,9323,0.521,25,0.44,0.16,156,0.59,1498,0.5429999999999999,41.2,GBR,2466.0,109.0
19,Felix Auger Aliassime,62,0.597,0.6659999999999999,0.662,518,0.113,238,0.052000000000000005,0.14,0.628,0.759,0.508,0.591,0.8440000000000001,6.2,2.1,62,0.375,0.374,0.057999999999999996,0.035,0.312,0.484,0.217,6.5,2.4,59.0,60.2,62,0.402,157,391,0.54,2.6,6.3,1.03,2.5,0.631,195,309,0.42,2.0,5.0,0.75,1.8,62,1.12,9302,0.518,29,0.517,0.191,152,0.579,1457,0.532,40.1,CAN,2454.0,100.0
20,Arthur Fils,63,0.5710000000000001,0.648,0.649,380,0.078,210,0.043,0.111,0.613,0.7440000000000001,0.49700000000000005,0.5589999999999999,0.8140000000000001,6.3,2.2,63,0.361,0.371,0.071,0.026000000000000002,0.294,0.47700000000000004,0.19899999999999998,6.4,2.3,58.0,76.5,63,0.386,154,399,0.52,2.4,6.3,0.92,2.4,0.61,225,369,0.48,2.2,5.9,0.86,2.3,63,1.03,9806,0.504,29,0.621,0.17300000000000001,168,0.536,1545,0.507,42.2,FRA,2466.0,110.0
21,Alejandro Tabilo,55,0.545,0.657,0.6409999999999999,434,0.098,132,0.03,0.083,0.643,0.748,0.493,0.5379999999999999,0.8390000000000001,6.4,2.2,55,0.354,0.36700000000000005,0.11,0.042,0.267,0.504,0.19399999999999998,6.4,2.3,58.5,66.9,55,0.39399999999999996,132,335,0.49,2.4,6.1,0.94,2.4,0.672,227,338,0.49,2.4,6.1,0.79,2.0,55,1.03,8761,0.507,27,0.444,0.191,141,0.539,1371,0.519,40.6,CHI,2520.0,108.0
22,Sebastian Korda,52,0.596,0.6559999999999999,0.632,410,0.105,90,0.023,0.057999999999999996,0.603,0.745,0.521,0.5529999999999999,0.82,6.2,2.1,52,0.37,0.37799999999999995,0.081,0.037000000000000005,0.28300000000000003,0.514,0.21600000000000003,6.5,2.4,42.0,82.6,52,0.384,137,357,0.56,2.7,6.9,1.05,2.6,0.599,169,282,0.45,2.2,5.4,0.86,2.2,52,1.08,8021,0.509,27,0.48100000000000004,0.20600000000000002,131,0.557,1261,0.517,37.2,USA,2280.0,96.0
23,Ben Shelton,61,0.59,0.684,0.6759999999999999,592,0.109,219,0.04,0.126,0.679,0.755,0.534,0.611,0.8809999999999999,6.3,2.0,61,0.331,0.327,0.063,0.036000000000000004,0.258,0.456,0.153,6.4,2.1,56.0,80.0,61,0.337,130,386,0.45,2.3,6.3,0.78,2.1,0.7170000000000001,258,360,0.42,2.2,5.9,0.61,1.7,61,1.05,10827,0.507,45,0.489,0.26899999999999996,167,0.557,1706,0.519,40.2,USA,2610.0,119.0
24,Karen Khachanov,58,0.603,0.664,0.644,429,0.095,100,0.022000000000000002,0.061,0.637,0.747,0.517,0.55,0.8340000000000001,6.2,2.1,58,0.365,0.379,0.094,0.035,0.276,0.515,0.214,6.5,2.4,48.5,63.7,58,0.405,157,388,0.53,2.6,6.7,1.07,2.7,0.621,198,319,0.44,2.2,5.5,0.82,2.1,58,1.09,9315,0.511,29,0.586,0.19699999999999998,147,0.5920000000000001,1465,0.523,42.4,RUS,2682.0,113.0
25,Alexei Popyrin,50,0.54,0.6629999999999999,0.6459999999999999,490,0.12,158,0.039,0.11,0.648,0.75,0.504,0.5670000000000001,0.8420000000000001,6.5,2.2,50,0.345,0.35100000000000003,0.08900000000000001,0.039,0.268,0.473,0.187,6.4,2.2,39.0,60.1,50,0.377,119,316,0.5,2.4,6.3,0.92,2.4,0.654,189,289,0.46,2.2,5.8,0.77,2.0,50,1.02,8169,0.504,25,0.44,0.192,130,0.5379999999999999,1268,0.513,38.0,AUS,2388.0,104.0
26,Sebastian Baez,60,0.5329999999999999,0.604,0.607,141,0.03,117,0.025,0.08800000000000001,0.722,0.637,0.518,0.568,0.742,6.7,2.7,60,0.396,0.405,0.066,0.03,0.33,0.504,0.26899999999999996,6.5,2.6,62.0,70.5,60,0.406,194,478,0.66,3.1,8.0,1.26,3.2,0.614,293,477,0.67,3.1,8.0,1.19,3.1,60,1.0,9458,0.501,18,0.444,0.11699999999999999,154,0.513,1435,0.504,39.2,ARG,2406.0,103.0
